,YOB,Income,Lon,Lat,Apl_Year,gender,Accepted
0,1985,6902,-84,26,2017,0,False
1,1935,9027,-81,28,2017,0,False
2,1944,4657,-95,28,2016,0,True
3,1944,4014,-95,24,2016,0,False
4,1947,8563,-82,46,2018,0,True
5,2013,4105,-99,38,2016,0,True
6,1985,5252,-94,46,2017,0,False
7,1965,6062,-82,25,2017,0,False
8,1959,8696,-94,21,2017,1,False
9,1954,1339,-90,46,2016,0,False
10,2001,5870,-81,24,2018,0,False
11,1971,6241,-94,29,2017,0,False
12,1962,1827,-86,37,2017,1,True
13,1922,1264,-99,46,2018,0,True
14,1970,1165,-99,37,2017,0,False
15,1987,8101,-86,28,2016,0,False
16,1985,8560,-86,24,2018,1,False
17,1940,9353,-87,38,2016,1,False
18,1968,3617,-94,29,2017,1,True
19,1915,3766,-99,38,2018,1,True
20,1920,3631,-95,21,2018,1,True
21,1983,1926,-97,28,2016,0,True
22,1924,2546,-97,46,2018,1,False
23,1999,3390,-84,29,2016,0,False
24,1928,7535,-90,21,2016,1,False
25,1936,3302,-86,28,2018,1,True
26,2014,1727,-81,26,2017,0,True
27,1985,8370,-94,25,2016,0,False
28,1935,1939,-99,29,2017,0,True
29,1986,4750,-90,28,2018,1,False
30,1996,3211,-81,37,2016,1,True
31,2009,5004,-97,46,2016,0,True
32,1932,2690,-86,21,2017,0,False
33,1971,6179,-81,29,2018,0,True
34,1966,4877,-97,26,2018,0,True
35,1952,9374,-82,38,2018,0,False
36,1943,1917,-95,21,2018,1,True
37,1915,4523,-82,26,2016,1,True
38,1992,1001,-95,24,2017,0,True
39,1957,9585,-95,37,2017,0,False
40,1934,2075,-87,42,2017,1,True
41,1942,3117,-97,26,2017,0,True
42,1983,4373,-95,37,2018,1,True
43,1963,8072,-99,21,2017,0,False
44,1971,1730,-94,24,2018,1,True
45,1917,3557,-81,21,2016,0,True
46,1962,8283,-97,24,2017,0,False
47,1964,2649,-84,38,2017,1,True
48,1972,7468,-86,29,2016,1,True
49,1932,7903,-97,38,2016,1,False
50,1938,2237,-87,46,2018,1,True
51,1920,5054,-86,42,2018,0,True
52,1988,6191,-94,37,2016,0,True
53,1973,8091,-82,38,2016,1,True
54,1972,3368,-81,26,2017,0,True
55,1953,1823,-94,21,2017,1,True
56,1915,8321,-95,26,2016,1,True
57,1961,7907,-87,29,2017,0,False
58,1963,9239,-90,42,2016,0,False
59,1969,5675,-81,42,2017,0,False
60,1955,9119,-99,29,2017,0,False
61,2002,9693,-90,29,2017,1,False
62,2003,3283,-90,24,2018,0,False
63,1935,9944,-99,38,2016,0,False
64,1922,6098,-99,28,2018,1,False
65,1919,6329,-81,46,2017,1,True
66,1937,2101,-90,26,2017,0,True
67,1985,5992,-95,46,2016,0,True
68,1918,4505,-81,37,2016,1,False
69,1952,6923,-95,29,2018,1,False
70,1929,6794,-86,26,2017,0,True
71,1929,3764,-94,26,2017,0,True
72,1987,5136,-99,42,2016,1,True
73,1931,9852,-86,42,2016,0,False
74,1974,4160,-84,24,2018,1,True
75,1973,5712,-94,37,2016,0,True
76,1978,1986,-99,28,2016,1,True
77,2003,3895,-87,21,2017,0,False
78,1956,8310,-82,29,2018,1,False
79,1916,7649,-82,46,2016,1,True
80,1990,4296,-99,26,2017,1,True
81,1919,6850,-87,25,2016,0,True
82,1956,5647,-87,38,2017,0,False
83,1960,7581,-94,29,2016,0,False
84,1955,8851,-95,38,2016,1,False
85,1949,9748,-90,24,2018,0,False
86,1941,7297,-90,25,2018,1,False
87,1992,2977,-86,29,2017,1,False
88,1987,6435,-81,24,2016,0,False
89,1986,7170,-81,37,2018,0,True
90,2007,2390,-95,37,2016,0,True
91,1975,2438,-82,24,2018,1,True
92,1940,1020,-94,38,2018,1,True
93,2012,7886,-86,24,2017,1,False
94,1921,9339,-97,42,2017,0,True
95,2014,9070,-87,42,2016,0,True
96,1983,7420,-87,29,2016,0,False
97,1919,1752,-99,42,2016,1,True
98,2015,1059,-90,42,2016,0,True
99,1976,8210,-87,28,2018,0,False
100,1940,2756,-82,37,2017,1,True
101,1945,2200,-97,37,2017,0,False
102,1975,8361,-84,42,2018,1,True
103,2007,9226,-84,26,2018,1,True
104,1973,5313,-94,24,2016,1,True
105,1956,7337,-94,26,2016,1,False
106,2015,7135,-94,46,2017,0,False
107,1971,6767,-95,46,2017,1,False
108,1923,3962,-81,37,2018,1,True
109,1969,2580,-97,46,2018,1,False
110,1919,8207,-87,42,2016,1,True
111,2000,7953,-95,25,2017,1,True
112,1949,9947,-82,28,2017,0,False
113,1911,4022,-84,26,2016,1,True
114,2002,4211,-90,21,2018,0,False
115,1946,2799,-87,46,2017,1,True
116,1930,6435,-87,46,2016,1,False
117,1980,7559,-99,38,2017,1,True
118,1964,9236,-84,37,2018,1,False
119,1990,5108,-90,24,2016,1,True
120,2013,2792,-84,46,2018,0,True
121,1924,2833,-97,25,2018,1,False
122,1952,5405,-84,29,2016,1,False
123,2000,2584,-94,46,2018,0,False
124,1942,7569,-90,46,2017,0,False
125,1948,7881,-82,26,2016,0,False
126,1916,7528,-84,46,2018,0,False
127,2014,4594,-95,46,2017,0,False
128,1926,8764,-84,28,2017,1,False
129,1995,5848,-94,26,2018,1,True
130,1976,8988,-84,46,2016,1,False
131,1944,7228,-97,29,2018,1,False
132,1981,3675,-94,25,2018,0,False
133,1912,4653,-81,29,2018,0,True
134,1944,1935,-94,21,2018,1,False
135,1951,7691,-82,24,2016,1,False
136,2008,4478,-94,25,2017,0,False
137,2012,4578,-99,46,2018,1,False
138,1950,3369,-86,21,2016,1,False
139,1950,4672,-99,21,2018,1,False
140,1966,9620,-95,26,2018,0,False
141,1923,7546,-95,28,2016,0,False
142,1985,8212,-82,21,2016,1,True
143,1936,8995,-90,42,2018,0,False
144,1944,8556,-94,42,2016,0,False
145,1915,6328,-97,29,2016,0,True
146,1925,9860,-82,38,2016,1,False
147,1954,8792,-84,37,2018,0,False
148,1927,7646,-99,28,2016,0,True
149,1979,4319,-94,29,2016,1,False
150,1930,9303,-82,26,2018,0,True
151,1975,7895,-84,24,2018,1,True
152,1936,6339,-84,46,2017,1,False
153,1957,1671,-90,29,2018,1,True
154,1959,6148,-82,37,2017,0,False
155,1920,8292,-90,25,2018,0,False
156,1913,7968,-87,38,2016,0,True
157,1934,6343,-94,29,2016,0,False
158,2000,1362,-86,26,2018,1,True
159,1989,7214,-90,29,2016,1,False
160,1921,4626,-84,21,2017,1,True
161,1975,6428,-86,25,2017,1,False
162,1931,5579,-82,24,2017,1,True
163,2007,6931,-90,46,2017,0,True
164,1984,8263,-84,38,2018,1,False
165,1965,8137,-82,24,2017,1,False
166,1976,9781,-99,37,2017,0,False
167,1941,1862,-95,26,2017,1,True
168,1960,9735,-86,46,2018,0,False
169,1935,2570,-99,28,2017,1,True
170,1920,9096,-94,25,2016,0,True
171,2004,7870,-81,38,2018,1,False
172,1954,5372,-87,24,2017,1,False
173,1915,7653,-86,29,2018,0,True
174,1984,9545,-87,37,2017,1,False
175,2016,3837,-94,37,2018,1,False
176,2001,6662,-87,25,2016,1,False
177,2010,1380,-97,28,2018,0,False
178,2009,8388,-82,42,2016,1,False
179,1913,7207,-94,24,2018,0,False
180,1992,3731,-86,38,2017,1,False
181,1965,9441,-90,25,2016,1,False
182,1986,9404,-84,21,2017,1,False
183,1945,9627,-86,24,2017,1,False
184,1982,9208,-97,46,2018,1,False
185,1958,9423,-97,25,2018,0,False
186,1992,9848,-97,42,2016,0,False
187,1958,4756,-82,24,2017,1,True
188,1952,2941,-94,37,2018,1,True
189,1981,8843,-87,42,2017,1,False
190,1930,4945,-94,38,2016,0,True
191,1963,1782,-90,29,2016,1,True
192,1925,1604,-81,21,2016,1,True
193,1946,6767,-86,42,2016,0,False
194,1921,3492,-87,42,2017,0,True
195,2014,3906,-81,21,2017,1,True
196,2004,9908,-97,26,2017,1,False
197,1949,6273,-90,42,2017,1,True
198,1942,2968,-99,37,2016,1,True
199,2004,5734,-90,24,2017,1,False
200,1924,6281,-87,37,2016,1,True
201,2005,7104,-97,24,2018,1,False
202,1930,7593,-90,29,2018,1,False
203,1977,7553,-97,28,2018,0,False
204,1957,1509,-87,28,2017,1,True
205,1987,4142,-84,38,2018,0,True
206,1959,3853,-84,21,2016,1,False
207,1983,3902,-82,25,2018,0,True
208,1953,9846,-94,37,2017,0,False
209,1930,1581,-84,38,2016,1,True
210,2006,7181,-97,26,2017,0,False
211,2011,9890,-86,25,2018,0,False
212,1960,3794,-90,38,2017,0,False
213,1943,8858,-81,29,2016,1,False
214,1939,8530,-81,38,2018,0,False
215,2009,9167,-87,28,2017,0,False
216,1953,8875,-90,37,2016,0,False
217,1956,2204,-86,25,2016,0,False
218,1962,4936,-87,46,2016,1,False
219,1983,3839,-86,38,2016,0,True
220,1993,9830,-86,37,2017,1,False
221,2010,5106,-90,26,2018,0,False
222,1930,3505,-99,37,2016,1,True
223,1973,8469,-81,46,2016,1,True
224,2008,3503,-87,42,2016,0,True
225,1927,7913,-86,42,2018,0,False
226,1999,4281,-94,26,2018,0,True
227,1963,4603,-87,26,2017,0,False
228,2008,1055,-87,29,2018,0,True
229,1969,8692,-86,26,2016,0,False
230,1959,5756,-86,28,2016,1,True
231,1931,4905,-90,25,2018,1,True
232,1967,2471,-97,28,2017,1,False
233,1960,3709,-97,38,2016,1,True
234,1953,8402,-99,26,2018,1,False
235,1976,1135,-86,26,2018,0,True
236,1992,9155,-86,24,2016,0,False
237,2011,5313,-82,37,2016,0,True
238,2010,5628,-99,24,2018,0,False
239,2015,5264,-87,28,2016,1,True
240,1914,4890,-87,46,2017,0,True
241,1971,9263,-84,25,2016,0,False
242,1985,3847,-90,46,2018,0,False
243,1940,4702,-90,37,2017,0,True
244,2016,3796,-81,37,2017,1,True
245,1996,9408,-94,28,2017,0,False
246,2016,1573,-99,46,2017,0,True
247,1941,7739,-90,29,2017,0,False
248,1918,8293,-81,24,2018,1,True
249,2012,4793,-97,26,2018,1,True
250,1914,9509,-81,24,2017,1,False
251,1988,6962,-86,24,2017,0,True
252,1910,1030,-95,28,2018,1,True
253,1937,9024,-94,29,2016,1,True
254,1928,8751,-81,21,2016,1,False
255,2009,9994,-90,26,2018,0,False
256,1944,2449,-99,37,2016,1,True
257,1941,1668,-99,37,2016,0,True
258,1989,7248,-84,46,2018,0,False
259,1936,8567,-87,38,2018,1,False
260,1952,5430,-82,38,2017,0,False
261,1990,1718,-81,37,2016,1,True
262,1957,4168,-82,37,2016,1,True
263,1933,1623,-99,29,2018,1,True
264,1933,2712,-90,24,2017,0,False
265,1939,4937,-94,37,2018,1,True
266,1948,7315,-99,25,2016,1,False
267,1982,4639,-87,28,2017,0,False
268,1951,1933,-82,24,2018,1,True
269,1994,9307,-97,42,2016,0,False
270,1916,8836,-82,28,2016,0,False
271,1912,2307,-81,21,2017,1,True
272,1927,6533,-97,21,2018,0,True
273,1938,7460,-90,26,2017,0,False
274,1925,9354,-90,38,2018,0,True
275,1971,9752,-81,28,2017,0,False
276,2013,2656,-81,42,2018,0,True
277,1932,1723,-86,42,2018,1,True
278,1970,4808,-95,38,2016,1,True
279,1963,1753,-84,42,2017,0,False
280,2003,9477,-99,37,2018,0,False
281,1994,2110,-97,26,2017,0,True
282,1968,8266,-99,25,2016,0,False
283,1956,6850,-95,24,2017,0,False
284,1963,4441,-86,37,2017,0,False
285,1995,5953,-82,37,2018,1,True
286,1911,6133,-82,28,2018,0,True
287,1917,6129,-82,42,2016,1,True
288,1952,5544,-90,21,2016,1,True
289,2008,8012,-90,29,2016,0,False
290,1998,9624,-82,28,2016,0,False
291,2009,1351,-99,42,2018,0,True
292,1995,6971,-90,46,2018,1,True
293,1941,3481,-95,37,2017,1,True
294,1929,2825,-94,26,2018,0,False
295,1993,3131,-87,38,2017,0,False
296,1970,1947,-82,28,2016,1,False
297,2006,8261,-94,24,2017,1,True
298,1941,9027,-87,37,2018,0,False
299,1975,9481,-94,29,2016,0,False
300,1964,6977,-97,38,2016,1,False
301,1971,4493,-81,25,2018,1,True
302,1930,8349,-81,28,2017,0,False
303,1918,2271,-97,42,2016,1,True
304,1917,3582,-90,24,2017,1,True
305,1922,3154,-97,24,2016,1,True
306,1967,6221,-95,42,2017,0,True
307,1939,1747,-81,21,2016,0,True
308,1958,9166,-94,46,2017,0,False
309,1968,2950,-97,29,2016,1,False
310,1980,2374,-82,37,2018,1,True
311,1943,5401,-90,29,2018,1,True
312,1988,8832,-87,25,2018,1,False
313,1987,7509,-95,28,2016,0,False
314,1946,2345,-90,29,2018,0,False
315,1946,3021,-87,37,2018,1,True
316,1988,3209,-90,28,2018,1,False
317,1938,2399,-90,38,2017,0,True
318,1943,7598,-82,38,2016,0,True
319,1912,9258,-97,28,2016,0,True
320,1913,2981,-94,38,2018,1,True
321,2000,5227,-84,24,2017,1,False
322,1917,6090,-87,42,2016,1,True
323,1979,9937,-81,46,2016,0,False
324,1967,7367,-95,21,2017,0,False
325,1987,9127,-84,46,2016,0,False
326,2003,8286,-99,29,2016,1,False
327,1953,2701,-81,42,2018,0,False
